sequence,revcom,phylum,class,order,family,genus,species
GBEHU2E07D7UJ2,False,Actinobacteria,Actinobacteria,Acidothermales,Acidothermaceae,Acidothermus,Acidothermus_cellulolyticus
GBEHU2E07D82PI,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D8D4Y,False,Firmicutes,Clostridia,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D8KRJ,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GBEHU2E07D918D,False,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D92UK,False,Chloroflexi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D95MA,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GBEHU2E07D9B4H,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D9CLF,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unclassified,Unclassified
GBEHU2E07D9FK7,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D9L40,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D9SFN,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07EA1IA,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07EA508,False,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Unclassified,Unclassified
GBEHU2E07EA6I0,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07EAC0I,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07EAHG5,False,Firmicutes,Clostridia,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07EAIG5,False,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07EAKUV,False,Firmicutes,Clostridia,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07EALGQ,False,Firmicutes,Clostridia,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07EANQS,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07EAYCO,False,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07EB2F7,False,Tenericutes,Mollicutes,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07EB6LV,False,Firmicutes,Clostridia,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07EBAN9,False,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Unclassified,Unclassified
GBEHU2E07EBDDQ,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila,Fastidiosipila_sanguinis
GBEHU2E07EBJ2G,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07EBJP6,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila,Fastidiosipila_sanguinis
GBEHU2E07EC0RP,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07EC42A,False,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07EC4DP,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unclassified,Unclassified
GBEHU2E07EC7MX,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07EC8J8,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07ECCPB,False,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07ECN9N,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07ECNEX,False,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Unclassified,Unclassified
GBEHU2E07ECO9H,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07ECPFQ,False,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas_bennonis
GBEHU2E07ECPLM,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07ECURT,True,Actinobacteria,Actinobacteria,Propionibacteriales,Unclassified,Unclassified,Unclassified
GBEHU2E07ECVXX,False,Actinobacteria,Actinobacteria,Acidothermales,Acidothermaceae,Acidothermus,Acidothermus_cellulolyticus
GBEHU2E07ECXK6,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07ED216,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07ED3JT,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07ED9JU,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07EDADC,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07EDDLK,False,Firmicutes,Clostridia,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07EDDS6,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07EDEW0,False,Firmicutes,Clostridia,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07EDHIB,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unclassified,Unclassified
GBEHU2E07EDP9S,False,Bacteroidetes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07EDPXZ,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GBEHU2E07EDQ8B,False,Firmicutes,Clostridia,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07EDTNT,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07EDVCL,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07EE0LZ,False,Firmicutes,Clostridia,Clostridiales,Clostridiales_Family_XIII._Incertae_Sedis,Unclassified,Unclassified
GBEHU2E07EE54H,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GBEHU2E07EEGIJ,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GBEHU2E07EELD5,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07EELYC,False,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07EEN4R,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07EET98,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07EEZP0,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GBEHU2E07EFFPG,False,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Unclassified,Unclassified
GBEHU2E08E0APE,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unclassified,Unclassified
GBEHU2E08E0I7M,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila,Fastidiosipila_sanguinis
GBEHU2E08E0K5N,False,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_hominis
GBEHU2E08E0KO0,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08E0NDY,True,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Unclassified,Unclassified
GBEHU2E08E0O8H,False,Firmicutes,Clostridia,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08E0PNV,False,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_hominis
GBEHU2E08E0PQ0,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila,Fastidiosipila_sanguinis
GBEHU2E08E0T0L,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08E0VIN,False,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08E0VU6,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08E0XUR,False,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Unclassified,Unclassified
GBEHU2E08EO06M,False,Firmicutes,Clostridia,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EO0WS,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EO3WR,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EO42H,False,Firmicutes,Clostridia,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EO4LL,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GBEHU2E08EO4OL,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EO7YS,False,Firmicutes,Clostridia,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EOF0S,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GBEHU2E08EOIVR,False,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EOP07,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila,Fastidiosipila_sanguinis
GBEHU2E08EORMF,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EOVBI,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EOVBT,False,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas_bennonis
GBEHU2E08EOYC1,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EOYSU,False,Firmicutes,Clostridia,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EOZGA,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EP10N,False,Actinobacteria,Actinobacteria,Acidothermales,Acidothermaceae,Acidothermus,Acidothermus_cellulolyticus
GBEHU2E08EP1FI,False,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EP248,False,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Unclassified,Unclassified
GBEHU2E08EP4FW,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila,Fastidiosipila_sanguinis
GBEHU2E08EP663,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GBEHU2E08EPBE7,False,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EPBHI,False,Firmicutes,Clostridia,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EPG0V,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila,Fastidiosipila_sanguinis
GBEHU2E08EPGUI,False,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Unclassified
GBEHU2E08EPHMN,False,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EPIZ0,False,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Unclassified
GBEHU2E08EPLCI,False,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EPLU1,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EPO7N,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EPOJT,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EPQ6U,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EPR1S,False,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EPSJG,False,Firmicutes,Clostridia,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EPUE2,False,Firmicutes,Clostridia,Clostridiales,Clostridiales_Family_XIII._Incertae_Sedis,Unclassified,Unclassified
GBEHU2E08EPUKR,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EPVQ0,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EQ227,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EQ8XF,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EQADS,False,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium_plurextorum
GBEHU2E08EQGDG,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EQGRR,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EQNGR,False,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EQNY8,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EQPP6,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EQQKT,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EQSG5,False,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EQV2V,False,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Peptococcus,Peptococcus_niger
GBEHU2E08EQV9E,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EQVXY,True,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Unclassified,Unclassified
GBEHU2E08EQYVD,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EQZGZ,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EQZWH,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EQZYA,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unclassified,Unclassified
GBEHU2E08ER40A,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GBEHU2E08ER4S6,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08ER4XM,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08ER4Y5,False,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium_plurextorum
GBEHU2E08ER5ZR,False,Firmicutes,Clostridia,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08ER777,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08ERBIF,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08ERH4R,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08ERR0H,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08ERU1F,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08ERVKH,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08ERZEJ,False,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08ERZG2,False,Firmicutes,Clostridia,Clostridiales,Clostridiales_Family_XIII._Incertae_Sedis,Mogibacterium,Unclassified
GBEHU2E08ES260,False,Firmicutes,Clostridia,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08ES2K6,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08ES6X9,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08ES7L1,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GBEHU2E08ES9FY,False,Firmicutes,Clostridia,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08ESBWX,False,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08ESGQX,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08ESJ7U,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08ESNWM,False,Actinobacteria,Actinobacteria,Acidothermales,Acidothermaceae,Acidothermus,Acidothermus_cellulolyticus
GBEHU2E08ESOQR,False,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Unclassified
GBEHU2E08ESQHM,False,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08ESRWA,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08ESU16,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08ESUTA,False,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08ESZ7C,False,Firmicutes,Clostridia,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08ET1MT,False,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08ET3CC,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08ETDI2,False,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08ETHBU,False,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Unclassified,Unclassified
GBEHU2E08ETIZ6,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08ETJE6,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GBEHU2E08ETRYK,False,Cyanobacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08ETSZB,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08ETW1P,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08ETZTG,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EU0SK,False,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EU5E6,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EU66G,False,Firmicutes,Clostridia,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EUE49,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EURGG,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EUUI5,False,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Unclassified,Unclassified
GBEHU2E08EUXJT,False,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Unclassified
GBEHU2E08EUYXP,False,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Unclassified,Unclassified
GBEHU2E08EV213,False,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Unclassified
GBEHU2E08EV5N6,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EV5WR,False,Actinobacteria,Actinobacteria,Acidothermales,Acidothermaceae,Acidothermus,Acidothermus_cellulolyticus
GBEHU2E08EVBGH,False,Firmicutes,Clostridia,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EVC4P,False,Firmicutes,Clostridia,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EVD0X,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EVGPM,False,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Unclassified,Unclassified
GBEHU2E08EVHGZ,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EVJEO,False,Actinobacteria,Actinobacteria,Acidothermales,Acidothermaceae,Acidothermus,Acidothermus_cellulolyticus
GBEHU2E08EVK28,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EVN44,False,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Unclassified,Unclassified
GBEHU2E08EVPWL,False,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Unclassified,Unclassified
GBEHU2E08EVTNH,True,Proteobacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EVWAD,False,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Unclassified
GBEHU2E08EVZ77,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EW06R,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila,Fastidiosipila_sanguinis
GBEHU2E08EW5PG,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EWCJK,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GBEHU2E08EWF0L,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GBEHU2E08EWIV6,False,Actinobacteria,Actinobacteria,Acidothermales,Acidothermaceae,Acidothermus,Acidothermus_cellulolyticus
GBEHU2E08EWO3Y,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EWP8E,False,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EWPBH,False,Firmicutes,Clostridia,Clostridiales,Clostridiales_Family_XIII._Incertae_Sedis,Mogibacterium,Unclassified
GBEHU2E08EWR1T,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EWVM9,False,Bacteroidetes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EWXUM,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E08EWYMV,False,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Unclassified
